FireDepartmentName,SubstationName/PhysicalCity,PhysicalAddress1,County,Latitude,Longitude
Frisco Fire Department,Station 05,"14300 Eldorado Pkwy, ",Collin,33.175,-96.7524
Frisco Fire Department,Station 06,"3535 Eldorado Pkwy, ",Denton,33.1776,-96.8588
Frisco Fire Department,Station 07,"330 W Stonebrook Pkwy, ",Denton,33.1454,-96.8935
Frisco Fire Department,Station 08,"14700 Rolater Rd, ",Collin,33.1384,-96.749
Frisco Fire Department,Station 09,"15151 Donnie Mayfield Way,",Collin,33.2034,-96.8052
Fulshear FD,Station 2,35011 FM 1093,Fort Bend,29.6797,-95.9732
Fulshear FD,Station 3,26051 Fulshear Gaston Road,Fort Bend,29.6855,-95.8282
Gallatin Volunteer Fire Dept,Gallatin VFD Station 2,161 CR 1623,Cherokee,31.9206,-95.2391
Garland Fire Dept,Station 01,"1019 Austin St, ",Dallas,32.9147,-96.6428
Garland Fire Dept,Station 06,2009 Holford Rd ,Dallas,32.9624,-96.6588
Garland Fire Dept,Station 07,2545 Naaman School Rd ,Dallas,32.9379,-96.6105
Garland Fire Dept,Station 08,1426 E Miller Road,Dallas,32.8938,-96.6111
Garland Fire Dept,Station 09,"4320 O Banion Rd, ",Dallas,32.8669,-96.6313
Garland Fire Dept,Station 10,"1556 Provence Blvd, ",Dallas,32.9674,-96.6187
Garland Fire Dept,Station 11,"1940 Belt Line Rd, ",Dallas,32.9447,-96.6564
Garland Fire Dept,Station 02,2501 Wood Street ,Dallas,32.8871,-96.6665
Garland Fire Dept,Station 03,"1301 N Jupiter Rd,  ",Dallas,32.9257,-96.6837
Garland Fire Dept,Station 04,"4931 Gatewood Rd, ",Dallas,32.8544,-96.6071
Garland Fire Dept,Station 05,"5626 Lyons Rd,  ",Dallas,32.8461,-96.569
Georgetown Fire Dept,Station 1,"301 Industrial Ave, ",Williamson,30.6222,-97.6774
Georgetown Fire Dept,Station 2 ,1603 Williams Dr ,Williamson,30.6554,-97.6843
Georgetown Fire Dept,Station 3,"5 Texas Dr, ",Williamson,30.7174,-97.715
Georgetown Fire Dept,Station 4,"4200 Airport Rd,",Williamson,30.6871,-97.6738
Georgetown Fire Dept,Station 5 ,"3600 D.B. Wood Rd, ",Williamson,30.6799,-97.7188
Georgetown Fire Dept,Station 6,"6700 Williams Dr,  ",Williamson,30.7131,-97.7635
Georgetown Fire Dept,Station 7,"2711 E University Ave, ",Williamson,30.639,-97.6456
Grand Prairie Fire Dept,Station 01,"510 W Main St,  ",Dallas,32.745,-97.0102
Grand Prairie Fire Dept,Station 02 ,"3102 Bowles St,",Dallas,32.7565,-96.958
Grand Prairie Fire Dept,Station 03,"1702 Robinson Rd, ",Dallas,32.7227,-97.02
Grand Prairie Fire Dept,Station 04,"1502 Duncan Perry Rd, ",Tarrant,32.7616,-97.0368
Grand Prairie Fire Dept,Station 05,"3202 S Great SW Pkwy, ",Tarrant,32.6985,-97.0441
Grand Prairie Fire Dept,Station 06,"602 Stonewall Dr,  ",Dallas,32.7001,-97.0077
Grand Prairie Fire Dept,Station 07 ,"5610 Lake Ridge Pkwy, ",Tarrant,32.6356,-97.0441
Grand Prairie Fire Dept,Station 08,"3017 Roy Orr Blvd,",Dallas,32.7975,-97.0288
Grand Prairie Fire Dept,Station 09,"315 W Polo Rd, ",Dallas,32.6575,-97.0068
Grand Prairie Fire Dept,Station 10,"2645 S Grand Peninsula Dr, ",Dallas,32.5895,-97.0372
Grapevine Fire Dept,Station 1,"701 Turner Rd, ",Tarrant,32.9442,-97.07
Grapevine Fire Dept,Station 2,3091 Dove Road,Tarrant,32.9599,-97.1159
Grapevine Fire Dept,Station 3 ,"3100 Timberline Dr, ",Tarrant,32.9124,-97.1165
Grapevine Fire Dept,Station 4,"4500 Merlot Ave, ",Tarrant,32.8885,-97.0969
Grapevine Fire Dept,Station 5,"2801 Grapevine Mills Blvd N,",Tarrant,32.9732,-97.0403
Groesbeck Volunteer Fire-Rescue,Groesbeck Station 2,402.0,Limestone,31.5232,-96.5338
Hallsville VFD,Hallsville Fire Station #2,8512 FM 450 North,Harrison,32.6049,-94.5834
Hallsville VFD,Hallsville Fire Station #3,15400 FM 2625,Harrison,32.4489,-94.5751
Hallsville VFD,Hallsville Fire Station #4,4930 Noonday Road East,Harrison,32.5523,-94.5339
Harker Heights FD,Station 2,3207 Stillhouse Lake Rd,Bell,31.0414,-97.659
Harleton Volunteer Fire,Harleton Station 2,575 Gatlin Rd,Harrison,32.7187,-94.5604
Harleton Volunteer Fire,Harleton Fire Station 3,25221 State Highway 154,Harrison,32.688,-94.7016
Harlingen Fire Department,Station 1,121 W Jefferson Ave,Cameron,26.1958,-97.6966
Harlingen Fire Department,Station 2,902 South Stuart Place,Cameron,26.1817,-97.7584
Harlingen Fire Department,Station 3,513 N Loop 499,Cameron,26.2233,-97.6941
Harlingen Fire Department,Station 4,4410 Glasscock Avenue,Cameron,26.1701,-97.6781
Harlingen Fire Department,Station 5 ,3100 Rebel Dr,Cameron,26.2275,-97.6624
Harlingen Fire Department,Station 6,922 Rangerville Rd,Cameron,26.1656,-97.7048
Harlingen Fire Department,Station 7,1102 Dixieland Rd ,Cameron,26.1819,-97.7212
Harlingen Fire Department,Station 8,3510 E Grimes ,Cameron,26.205,-97.6581
Harris County ESD 48,Station 3,1773 Westgreen Blvd,Harris,29.7581,-95.7342
Harris County ESD 48,Station 4,22855 Franz Rd,Harris,29.8016,-95.7681
Harris County ESD 48,Station 5,21201B Morton Rd,Harris,29.8161,-95.7381
Harris County ESD10/Eastex Fire Dept,Station 26,8523 East North Beltway,Harris,29.9388,-95.2601
Harris County ESD10/Eastex Fire Dept,Station 46,6930 Cypresswood Point Ave,Harris,30.023,-95.3189
Harris County ESD10/Eastex Fire Dept,Station 36,15602 Woodland Hills,Harris,29.9467,-95.2116
Harris County ESD10/Eastex Fire Dept,Station 16,14322 Old Humble Rd,Harris,29.93,-95.2956
Harris County ESD12,Station 02,"14422 Wallisville Rd, ",Harris,29.8056,-95.1924
Harrison ESD 4,HCESD 4 Station # 2,9947 Highway 43 S,Harrison,32.4275,-94.4371
Harrison ESD 4,HCESD 4 Station#3,1925 FM 1186,Harrison,32.3734,-94.3189
Harrison ESD 4,HCESD4 Station #4 ,4476 Hwy 43 S,Harrison,32.4992,-94.407
Heart Of The Pines VFD,Station 1,670 Cottletown Rd,Bastrop,30.0927,-97.1952
Henly VFD,Station 86,12205 RM 2325,Hays,30.1011,-98.2624
Hoover Valley VFD,Station 2,104 Temple Dr,Burnet,30.6825,-98.4
Horizon City Fire Dept.,Station 2 ,12361  Paseo Del Este Blvd,El Paso,31.7032,-106.2501
Horseshoe Bay Fire Department,Horseshoe Bay Fire Department Station 2,601 Broken Hills,Llano,30.5413,-98.4151
Houston,Station 002,5880 Woodway,Harris,29.762,-95.4811
Houston,Station 003,3735 W. Alabama,Harris,29.7382,-95.4383
Houston,Station 004,6530 W. Little York,Harris,29.8658,-95.4895
Houston,Station 005,2020 Hollister,Harris,29.8103,-95.5065
Houston,Station 006,3402 Washington,Harris,29.7693,-95.3945
Houston,Station 007,1402 Elgin,Harris,29.7394,-95.3735
Houston,Station 103,2907 High Valley Dr.,Harris,30.0591,-95.1574
Houston,Station 104,910 Forest Cove Dr.,Harris,30.029375,-95.238496
Houston,Station 105,14014 Lake Houston Parkway,Harris,29.9295,-95.1765
Houston,Station 093,911 FM 1959,Harris,29.59,-95.1805
Houston,Station 094,235 El Dorado,Harris,29.5567,-95.1495
Houston,Station 096,7409 Willowchase,Harris,29.9695,-95.5408
Houston,Station 099,18580 Chanute,Harris,29.9756,-95.357
Houston,Station 101,1863 Kingwood Dr.,Harris,30.0515,-95.2277
Houston,Station 102,4102 Lake Houston Parkway,Harris,30.0656,-95.1869
Houston,Station 082,11250 Braesridge,Harris,29.656891,-95.510995
Houston,Station 083,3350 Breezewood,Harris,29.726481,-95.577409
Houston,Station 084,320 Gears Rd,Harris,29.9459,-95.4196
Houston,Station 086,14300 Briar Forest,Harris,29.7562,-95.6379
Houston,Station 090,16553 Park Row,Harris,29.788735,-95.6695
Houston,Station 092,3804 Will Clayton,Harris,29.9811,-95.3261
Houston,Station 075,1995 Dairy Ashford,Harris,29.744625,-95.605338
Houston,Station 076,7200 Cook,Harris,29.699345,-95.596545
Houston,Station 077,10155 Kempwood,Harris,29.822604,-95.543432
Houston,Station 078,15100 Memorial,Harris,29.778344,-95.618897
Houston,Station 080,16111 Chimney Rock,Harris,29.591593,-95.483659
Houston,Station 081,7900 Paul B. Koonce,Harris,29.6414,-95.2785
Houston,Station 069,1102 West Belt South,Harris,29.751,-95.5588
Houston,Station 070,11410 Beamer,Harris,29.601943,-95.229145
Houston,Station 071,15200 Space Center,Harris,29.5819,-95.1279
Houston,Station 072,17401 Saturn Lane,Harris,29.5579,-95.1071
Houston,Station 073,9640 Wilcrest,Harris,29.674043,-95.570479
Houston,Station 074,460 Aldine Bender,Harris,29.931585,-95.391514
Houston,Station 063,5626 Will Clayton Pkwy,Harris,29.9845,-95.3094
Houston,Station 064,3000 Greens Rd,Harris,29.950872,-95.342008
Houston,Station 065,11531 FM 1960 East,Harris,30.020732,-95.103002
Houston,Station 066,5800 Teague,Harris,29.851982,-95.540102
Houston,Station 067,1616 W. Little York,Harris,29.863773,-95.436135
Houston,Station 068,8602 Bissonnett,Harris,29.677544,-95.527248
Houston,Station 057,13602 Memorial,Harris,29.773063,-95.580378
Houston,Station 058,10413 Fulton,Harris,29.856799,-95.383067
Houston,Station 059,13925 S. Post Oak,Harris,29.625319,-95.465047
Houston,Station 060,2925 Jeanetta,Harris,29.733415,-95.525086
Houston,Station 061,9726 Monroe,Harris,29.625426,-95.267139
Houston,Station 062,1602 Seamist,Harris,29.798079,-95.43774
Houston,Station 051,6902 Bellaire,Harris,29.7053,-95.5049
Houston,Station 052,10343 Hartsook,Harris,29.635092,-95.229682
Houston,Station 053,13349 Vicksburg,Harris,29.776048,-95.187004
Houston,Station 054,19006 Aldine Westfield,Harris,29.9994,-95.3563
Houston,Station 055,11212 Cullen,Harris,29.637608,-95.356249
Houston,Station 056,5820 E. Little York,Harris,29.871236,-95.303856
Houston,Station 045,4910 N. McCarty,Harris,29.805199,-95.263907
Houston,Station 046,3902 Corder,Harris,29.68591,-95.36431
Houston,Station 047,2615 Tidewater,Harris,29.631725,-95.413703
Houston,Station 048,11616 Chimney Rock,Harris,29.653373,-95.481086
Houston,Station 049,1212 Gessner,Harris,29.791155,-95.544262
Houston,Station 050,4420 Bingle,Harris,29.834416,-95.489844
Houston,Station 039,5810 Pickfair,Harris,29.812521,-95.318906
Houston,Station 040,5830 Old Spanish Trail,Harris,29.71046,-95.320353
Houston,Station 041,805 Pearl,Harris,29.773895,-95.281884
Houston,Station 042,8675 Clinton Drive,Harris,29.74422,-95.272652
Houston,Station 043,7330 N. Wayside,Harris,29.828285,-95.284017
Houston,Station 044,675 Maxey,Harris,29.778168,-95.218108
Houston,Station 033,7117 Fannin,Harris,29.700254,-95.401745
Houston,Station 034,3100 Laura Koppe,Harris,29.840207,-95.338959
Houston,Station 035,5535 Van Fleet,Harris,29.673988,-95.337896
Houston,Station 036,7720 Airport Blvd.,Harris,29.6569,-95.2802
Houston,Station 037,7026 Stella Link,Harris,29.702009,-95.440255
Houston,Station 038,1120 Silber,Harris,29.785258,-95.467908
Houston,Station 027,6515 Lyons,Harris,29.776901,-95.304581
Houston,Station 028,3000 Chimney Rock,Harris,29.733884,-95.476863
Houston,Station 029,4831 Galveston,Harris,29.684128,-95.254238
Houston,Station 030,6702 Irvington,Harris,29.819169,-95.360787
Houston,Station 031,222 W. Crosstimbers,Harris,29.828502,-95.402447
Houston,Station 032,8614 Tidwell,Harris,29.849973,-95.266121
Houston,Station 021,10515 Main,Harris,29.67062,-95.433156
Houston,Station 022,7825 Harrisburg,Harris,29.730694,-95.285638
Houston,Station 023,8005 Lawndale,Harris,29.715748,-95.279541
Houston,Station 024,2625 Reed Rd,Harris,29.658031,-95.39
Houston,Station 025,3902 Scott,Harris,29.718637,-95.353378
Houston,Station 026,7111 Dixie,Harris,29.681798,-95.305018
Houston,Station 015,5306 N. Main,Harris,29.802826,-95.386707
Houston,Station 016,1700 Richmond,Harris,29.734616,-95.402331
Houston,Station 017,2805 Navigation,Harris,29.757002,-95.341377
Houston,Station 018,619 Telephone,Harris,29.735536,-95.331446
Houston,Station 019,1811 Gregg,Harris,29.777256,-95.336167
Houston,Station 020,6902 Navigation,Harris,29.744115,-95.300794
Houston,Station 008,1919 Louisiana,Harris,29.7515,-95.3728
Houston,Station 009,702 Hogan,Harris,29.7765,-95.3605
Houston,Station 010,6600 Coporate,Harris,29.7065,-95.5519
Houston,Station 011,460 T.C. Jester,Harris,29.7795,-95.418
Houston,Station 012,1502 Alber,Harris,29.7949,-95.3529
Houston,Station 013,2215 W. 43rd,Harris,29.8325,-95.4513
Howard County VFD,Silver Heels,200 Driver rd,Howard,32.2144,-101.4727
Howard County VFD,Coahoma ,214 North 1st street,Howard,32.2974,-101.3067
Howard County VFD,Forsan,409 Ave D,Howard,32.1071,-101.3652
Howard County VFD,Tubbs,1502 Richie Road,Howard,32.1545,-101.4207
Howard County VFD,Sand Springs,8083 I20 West,Howard,32.2826,-101.3515
Hudson VFD,Station 2,4004 Hwy 103 West,Angelina,31.3654,-94.7812
Huffman Fire Department ,Station 52,54 Ivy Leaf Dr,Harris,30.1061,-95.1071
Humble Fire Rescue,Station 2,501 Wilson Road,Harris,29.9928,-95.2499
Huntsville Fire Dept. Station 2,Huntsville FD Station 1,1987 Veterans Memorial Blvd,Walker,30.683,-95.5534
Huntsville Fire Dept. Station 2,Huntsville FD Station 3,448 SH 75 North,Walker,30.7366,-95.5825
Huntsville Fire Dept. Station 2,Huntsville FD Station 4,1619 HWY 30 East,Walker,30.7353,-95.5269
Hurst Fire Department,Station 02,837 W Pipeline Rd ,Tarrant,32.8232,-97.1892
Hurst Fire Department,Station 03,201 Holloway Ct,Tarrant,32.8101,-97.1671
Hutto Fire Rescue,Station 2,"150 Swindoll Ln, ",Williamson,30.5167,-97.5398
Iola VFD,Station 2,14390 FM 244,Grimes,30.6499,-96.1023
Iowa Park Volunteer Fire Department,Southside Station,598 S. Texowa,Wichita,33.9457,-98.6627
Irion County VFD,Barnhart,264 Main st,Irion,31.1293,-101.1718
Irving Fire Department,Station 01,"925 Chamberlain St, ",Dallas,32.8033,-96.935
Irving Fire Department,Station 02,"1306 N Story Rd,",Dallas,32.8276,-96.976
Irving Fire Department,Station 03,"1825 E Grauwyler Rd, ",Dallas,32.831,-96.921
Irving Fire Department,Station 10,315 Cimarron Trail ,Dallas,32.9333,-96.9499
Irving Fire Department,Station 11,6200 Love Drive ,Dallas,32.8934,-96.9548
Irving Fire Department,Station 12,2995 Regent Blvd. ,Dallas,32.9194,-96.9822
Irving Fire Department,Station 04,"3303 N MacArthur Blvd, ",Dallas,32.8495,-96.9594
Irving Fire Department,Station 05,"2925 W Shady Grove Rd,",Dallas,32.8028,-96.9866
Irving Fire Department,Station 06,"2801 Esters Rd,  ",Dallas,32.8461,-97.0093
Irving Fire Department,Station 07,"3303 W Walnut Hill Ln,",Dallas,32.8656,-96.9898
Irving Fire Department,Station 08,650 E Las Colinas Blvd,Dallas,32.861,-96.9278
Irving Fire Department,Station 09,8101 Jetstar Drive ,Dallas,32.9172,-97.003
Jackson VFD,Pine Corners ,7400 FM 3001,Marion,32.6957,-94.4361
Jefferson County ESD 4,Cheek,8523 Kidd Road,Jefferson,29.9942,-94.239248
Joint Base San Antonio Fire & Emergency,Station 9 Seguin Auxiliary Field,1032 County Rd 202,Guadalupe,29.5682,-97.9145
Joint Base San Antonio Fire & Emergency,Station 1 Lackland ,1910 Kenly Ave,Bexar,29.3883,-98.6165
Joint Base San Antonio Fire & Emergency,Station 2 Kelly Field Annex,Kelly Field Annex,Bexar,29.3853,-98.5858
Joint Base San Antonio Fire & Emergency,Station 3 Medina Annex ," 1125 Medina Base Rd,",Bexar,29.3725,-98.6537
Joint Base San Antonio Fire & Emergency,Station 5 Fort Sam Houston ,3935 Winans Road,Bexar,29.4788,-98.4232
Joint Base San Antonio Fire & Emergency,Station 7 Camp Bullis,"4716 Wilkerson Rd, ",Bexar,29.6378,-98.5788
Joint Base San Antonio Fire & Emergency,Station 8 JBSA Randolph,2080 Fifth Street East,Bexar,29.5275,-98.2709
Katy Fire Dept,Station 2,25420 Bell Patna Drive,Harris,29.777323,-95.814287
Katy Fire Dept,Station 3,2944 FM 1463,Harris,29.746814,-95.852786
Keller Fire - Rescue,Station 1,"455 Keller Smithfield Rd S, ",Tarrant,32.926,-97.2197
Keller Fire - Rescue,Station 2,737 KellerSmithfield Road  North,Tarrant,32.9453,-97.2199
Keller Fire - Rescue,Station 3,"1500 Rufe Snow Dr, ",Tarrant,32.9077,-97.2339
Kempner VFD Inc.,kempner Volunteer Fire Department #2,5136 FM 2808,Lampasas,31.0712,-97.9242
Kempner VFD Inc.,Kempner Volunteer Fire Department #3,1705 FM 2313,Lampasas,31.13,-98.04
Kerrville Fire Department,Station 4,725 Alpine Dr,Kerr,30.0668,-99.1136
Kerrville Fire Department,Station 1,1012 Water Street,Kerr,30.0422,-99.1366
Kerrville Fire Department,Station 2,1750 Goat Creek Rd,Kerr,30.0688,-99.1764
Kerrville Fire Department,Station 3 ,3225 Legion Dr,Kerr,30.0208,-99.1146
Kilgore Fire Department,Kilgore Fire Station 2,2200 South Henderson,Gregg,32.3684,-94.8692
Kilgore Fire Department,Kilgore Fire Station 3,3500 Stone Road,Gregg,32.3816,-94.8386
Killeen Fire Department,Killeen Fire Station 8,7252 East Trimmier Rd. ,Bell,31.0476,-97.6993
Killeen Fire Department,Killeen Fire Station 9,5400 Bunny Trail,Bell,31.081,-97.7867
Killeen Fire Department,Killeen Fire Station 1 ,3800 Westcliff Rd. ,Bell,31.1255,-97.6847
Killeen Fire Department,Killeen Fire Station 3,700 N. Twin Creek Dr. ,Bell,31.1077,-97.6838
Killeen Fire Department,Killeen Fire Station 5,905 W. Jasper Dr. ,Bell,31.1021,-97.7457
Killeen Fire Department,Killeen Fire Station 6,2001 E. Elms Rd. ,Bell,31.0779,-97.7261
Killeen Fire Department,Killeen Fire Station 7,3701 Watercrest Rd. ,Bell,31.1112,-97.7807
Kingsville Fire Dept,Station 02,"525 N Armstrong St, ",Kleberg,27.5212,-97.878
Kleberg County Fire Rescue ,Station 2 (Riviera),106 N 7th St,Kleberg,27.2987,-97.8128
Klein Volunteer Fire Department ,Station 01,18337 StuebnerAirline Rd,Harris,30.0397,-95.5376
Klein Volunteer Fire Department ,Station 02,14640 Gladebrook Dr,Harris,29.9933,-95.491
Klein Volunteer Fire Department ,Station 03,9755 Landry Blvd,Harris,30.0161,-95.566
Klein Volunteer Fire Department ,Station 04,16810 Squyres Rd,Harris,30.015,-95.5305
Klein Volunteer Fire Department ,Station 05,8230 Boudreaux Rd,Harris,30.0823,-95.5467
Klein Volunteer Fire Department ,Station 06,18822 N. Eldridge Parkway,Harris,30.0351,-95.6109
Klein Volunteer Fire Department ,Station 07,19302 T.C. Jester Blvd,Harris,30.0464,-95.5162
Klein Volunteer Fire Department ,Station 08,9600 Crescent Clover Dr,Harris,30.0558,-95.5668
Kyle Fire Department,Station 2,150 Bunton Creek RD,Hays,30.0083,-97.8609
Kyle Fire Department,Station 3,201 Mountain city dr,Hays,30.0376,-97.8892
La Feria Volunteer Fire Department,Station 2,32946 FM 506,Cameron,26.0817,-97.8234
La Marque Fire Department,Station 2,1109 Bayou Road A,Galveston,29.3693,-94.9711
La Vernia,Station 2,54 FM 3432,Wilson,29.3032,-98.1725
La Vernia,Station 4,411 13th Street ,Wilson,29.27,-98.06
La Vernia,Station 3,100 Great Oaks Blvd ,Wilson,29.34,-98.06
Lake Cities Fire Department,Station 01,"275 Main St, ",Denton,33.1195,-97.0265
Lake Cities Fire Department,Station 02,"2700 W Shady Shores Rd, ",Denton,33.1627,-97.0662
Lake Cities Fire Department,Station 03,"3750 Cliff Oaks Dr, ",Denton,33.1317,-97.0519
Lake Palo Pinto VFD,7R station 2,220 Prickly pear,Palo Pinto,32.573,-98.3025
Lake Travis Fire Rescue,Station 601,15516 General Williamson Dr.,Travis,30.3926,-97.935
Lake Travis Fire Rescue,Station 602,1211 lohmans crossing,Travis,30.3591,-97.9792
Lake Travis Fire Rescue,Station 603,13333 Hwy 71 west,Travis,30.3084,-97.9473
Lake Travis Fire Rescue,Station 604,5939 Comanche trail,Travis,30.3955,-97.8695
Lake Travis Fire Rescue,Station 605,3048 Steiner ranch blvd,Travis,30.3706,-97.894
Lake Travis Fire Rescue,Station 606,17304 Hamilton Pool Rd.,Travis,30.2918,-98.0347
Lamesa Fire Rescue,Lamesa Fire # 2,1711 N Bryan,Dawson,32.7455,-101.9651
Lancaster Fire Dept.,Station 02,3132 N Houston School Rd,Dallas,32.6259,-96.8053
Lancaster Fire Dept.,Station 03,"1960 W Belt Line Rd, ",Dallas,32.5918,-96.7957
Laredo Fire Department ,Station 01,1 Guadalupe St ,Webb,27.5061,-99.4962
Laredo Fire Department ,Station 02,2100 Zacatecas,Webb,27.4746,-99.474
Laredo Fire Department ,Station 03,2420 San Bernardo Ave,Webb,27.5215,-99.5045
Laredo Fire Department ,Station 04,1919 Houston St,Webb,27.507,-99.515
Laredo Fire Department ,Station 05,2601 N Barlett Ave,Webb,27.5196,-99.4741
Laredo Fire Department ,Station 06,4601 Maher Ave,Webb,27.5415,-99.4579
Laredo Fire Department ,Station 13,26911 Pinto Valle ,Webb,27.6919,-99.6709
Laredo Fire Department ,Station 14,309 Cielito Lindo Blvd,Webb,27.4314,-99.4732
Laredo Fire Department ,Station 07,1120 Calton Ave,Webb,27.545,-99.5071
Laredo Fire Department ,Station 08,510 Del Mar Blvd,Webb,27.571,-99.4826
Laredo Fire Department ,Station 09,13301 Mines Rd,Webb,27.6001,-99.5167
Laredo Fire Department ,Station 10,11015 McPherson Rd,Webb,27.6123,-99.4777
Laredo Fire Department ,Station 11,5210 HWY 359,Webb,27.4954,-99.4381
Laredo Fire Department ,Station 12,9402 NE Bob Bullock Loop,Webb,27.5795,-99.4402
"LaRue - New York Volunteer Fire Department, Inc.",Station # 2,FM 804 & FM 607,Henderson,32.1708,-95.6709
LaSalle County Fire & Rescue,Station 2,889 West Highway 44,La Salle,28.0463,-99.3392
LaSalle County Fire & Rescue,Station 1,951 Dobie Rd,La Salle,28.4244,-99.2323
League City VFD,Station 1,601 Second Street,Galveston,29.5112,-95.0915
League City VFD,Station 2,2120 Hobbs Road,Galveston,29.4847,-95.115
League City VFD,Station 3,3575 FM 518 East,Galveston,29.5261,-95.0461
League City VFD,Station 4,175 N Bay Area Blvd,Galveston,29.4914,-95.1533
League City VFD,Station 5,2898 Bay Creek Drive,Galveston,29.4517,-95.0964
League City VFD,Station 6,6060 South Shore Blvd.,Galveston,29.5152,-95.0412
Leander Fire Department,Fire Station 3,101 E. Sonny Drive,Williamson,30.5693,-97.8473
Leander Fire Department,Fire Station 2,1950 Crystal Falls Parkway,Williamson,30.5471,-97.8679
Leander Fire Department,Fire Station 1,460 W. San Gabriel Parkway,Williamson,30.5933,-97.8652
Leander Fire Department,Fire Station 4,10964 E. Crystal Falls Parkway,Williamson,30.5694,-97.8065
Leander Fire Department,Fire Station 5,2800 TRAVISSO PARKWAY,Travis,30.5188,-97.9027
Leon Springs VFD,Statiom 133,7895 Fair Oaks Parkway,Bexar,29.7341,-98.6433
Leon Springs VFD,Station 134,28036 Old Boerne Road,Bexar,29.7149,-98.6926
Leon Springs VFD,Station 420,Meadow Creek Trail,Bexar,29.7616,-98.6262
Lewisville Fire Department,Station 02,"702 E Main St, ",Denton,33.0453,-96.9845
Lewisville Fire Department,Station 03,"500 W Round Grove Rd, ",Denton,33.0041,-97.0014
Lewisville Fire Department,Station 04,"1435 Moccassin Trail, ",Denton,33.073,-97.0328
Lewisville Fire Department,Station 06,"2120 Midway Rd,",Denton,33.0467,-96.9271
Lewisville Fire Department,Station 05,"651 Waters Ridge Dr,",Denton,33.0126,-96.973
Lewisville Fire Department,Station 07,"1070 Texas St, ",Denton,33.0316,-96.9916
Lewisville Fire Department,Station 08,"3300 Lakewood Hills Dr, ",Denton,33.0526,-96.885
Lindale Volunteer Fire Department Inc,Station 2,17559 CR 435,Smith,32.47,-95.46
Lindale Volunteer Fire Department Inc,Station 3,12564 CR 471,Smith,32.44,-95.38
Little Elm Fire Department,Station 02,2301 Walker Road,Denton,33.18,-96.8985
Little Elm Fire Department,Station 03,1801 Navo Road,Denton,33.2259,-96.9293
Livingston VFD Inc,Station 2,210 W. Feagin,Polk,30.72,-94.93
Livingston VFD Inc,Station 3,2007 S. Houston,Polk,30.69,-94.92
Livingston VFD Inc,Station 4,755 FM 350 S,Polk,30.71,-94.97
Llano Volunteer Fire Dept,Station 2,801 Chattanooga ,Llano,30.7588,-98.6722
Longview Fire Department,Station 1,200 S. Center St.,Gregg,32.4934,-94.7407
Longview Fire Department,Station 2,708 N. Eastman Rd.,Gregg,32.5099,-94.7103
Longview Fire Department,Station 3,1133 E Birdsong St,Gregg,32.4724,-94.7169
Longview Fire Department,Station 7,2711 Gilmer Rd,Gregg,32.5361,-94.7903
Longview Fire Department,Station 4,2022 E George Richey Rd,Gregg,32.563,-94.8225
Longview Fire Department,Station 5,102 W Niblick St,Gregg,32.5079,-94.7953
Longview Fire Department,Station 6,2808 McCann Rd,Gregg,32.5316,-94.7513
Longview Fire Department,Station 8,4508 McCann Rd,Gregg,32.5606,-94.7641
Los Fresnos VFD,Station 2 ,104 S San Roman,Cameron,26.1263,-97.3986
Lubbock Fire Department,Station 01 (Larry D Tucker Memorial),1906 Texas Ave,Lubbock,33.5774,-101.8456
Lubbock Fire Department,Station 02 (J. Neuell Bryan Memorial),1515 E. Ursuline St,Lubbock,33.6214,-101.82
Lubbock Fire Department,Station 03,6420 25th St,Lubbock,33.5716,-101.9567
Lubbock Fire Department,Station 04 (Waylon Jack Kenkins Memorial),2504 Cornell St,Lubbock,33.6032,-101.871
Lubbock Fire Department,Station 05 (Eddie Swafford Memorial),1101 Zenith Ave,Lubbock,33.5857,-101.8097
Lubbock Fire Department,Station 18,6611 Oak Ridge Ave,Lubbock,33.5333,-101.9621
Lubbock Fire Department,Station 19,5826 98th St,Lubbock,33.5053,-101.9409
Lubbock Fire Department,Station 12 (Jay Lester Memorial),5202 79th St,Lubbock,33.5224,-101.923
Lubbock Fire Department,Station 13,5813 Erskine St,Lubbock,33.6068,-101.9412
Lubbock Fire Department,Station 14,2402 96th St,Lubbock,33.5071,-101.8684
Lubbock Fire Department,Station 15,8002 Venita Ave,Lubbock,33.521,-101.9788
Lubbock Fire Department,Station 16,4202 114th St,Lubbock,33.4908,-101.9021
Lubbock Fire Department,Station 17,3241 63rd St,Lubbock,33.537,-101.8862
Lubbock Fire Department,Station 06 (Kenneth Haggard Memorial),3320 35th St,Lubbock,33.5624,-101.8873
Lubbock Fire Department,Station 07,202 Slide Rd,Lubbock,33.5943,-101.9225
Lubbock Fire Department,Station 08,2120 50th St,Lubbock,33.5488,-101.8637
Lubbock Fire Department,Station 09,4814 50th St,Lubbock,33.5489,-101.9151
Lubbock Fire Department,Station 10,4810 MLK Jr Blvd,Lubbock,33.5499,-101.8184
Lubbock Fire Department,Station 11,6012 N Walnut St,Lubbock,33.6576,-101.8136
Lufkin Fire Department,Station 2," 408 Whitehouse Dr, ",Angelina,31.2975,-94.7196
Lufkin Fire Department,Station 1,314 E Lufkin Ave,Angelina,31.338,-94.7259
Lufkin Fire Department,Station 5,1408 Kurth Dr,Angelina,31.3606,-94.7364
Lufkin Fire Department,Station 3,1400 E Lufkin Ave,Angelina,31.336,-94.7138
