X,Y,OBJECTID,StationName,WXID,ObservedDate,NESSID,NWSID,Elevation,SiteDescription,Latitude,Longitude,State,County,Agency,Region,Unit,SubUnit,Status,RainAccumulation,WindSpeedMPH,WindDirDegrees,AirTempStandPlace,FuelTemp,RelativeHumidity,BatteryVoltage,FuelMoisture,WindDirPeak,WindSpeedPeak,SolarRadiation,StationID
-144.99485,62.2166700000001,934,KLAWASI,16904235,2022/08/19 16:57:00+00,FA60504A,500958,2513,"LOCATED 17 MILES EAST OF GULKANA AIRPORT, LOCATED BETWEENTWO STREAMS, TUNDRA FIELDS, ALSO AT THE BASE OF MT. DRUM.",62.21667,-144.99485,AK,Valdez-Cordova,NPS,ALASKA,WRANGLE ST. ALIAS NP,,A,.96 inches,8 mph,167 degrees ,52 deg. F,NO DATA,61 % ,13.3 volts,NO DATA,195 degrees,19 mph,99 w/m2,16904235
-106.26611,35.7789900000001,935,TOWER,17165092,2022/04/04 17:08:00+00,FA6362DE,290801,6529,,35.77899,-106.26611,NM,,NPS,INTERMOUNTAIN,BANDELIER NM,,1,4 inches,7 mph,191 degrees ,53 deg. F,NO DATA,31 % ,13.7 volts,NO DATA,233 degrees,15 mph,624 w/m2,17165092
-123.63589,41.09747,936,BIG HILL,16840019,2022/08/31 12:41:00+00,5212E6EC,040402,3570,"STATION SITS ON TOP OF ROUND, OPEN LOOKOUT SITE (BIG HILL),
DROPS AWAY AT 45 DEGREES ON ALL SIDES. LOOKOUT BUILDING IS
100 FEET TO NORTH, SMALL ROAD (FIRE BREAK) RUNS AROUND HILL
TOP FOR 360 DEGREES, LARGE OPEN VALLEYS ON S, W AND E SIDES.",41.09747,-123.63589,CA,Humboldt,BIA,Pacific,Hoopa Valley Tribe,,A,1.98 inches,3 mph,117 degrees ,66 deg. F,59 deg. F ,44 % ,12.8 volts,6.9 (unk),137 degrees,7 mph,0 w/m2,16840019
-106.431,40.897,937,INDEPENDENCE MOUNTAIN,17565469,2022/08/31 12:42:00+00,325B02F0,050305,8991,"STATION SITS IN HIGH MOUNTIAN OPEN MEADOW  ASPECT NW TO SE
TO THE NORTH SITS A STAND OF PINE QUAKER AND PINE
SAGE CONIFUR AND LOW LYING BRUSH DOMINATES THE MEADOW
FOUR MILES TO THE NORTH IS THE WALDORN RANCH
CALIFORNIA GULCH RUNS TO THE SOUTH.",40.897,-106.431,CO,Jackson,BLM,R7 Upper CO Basin,CRAIG,,A,8.19 inches,1 mph,360 degrees ,52 deg. F,NO DATA,38 % ,12.7 volts,NO DATA,342 degrees,4 mph,1 w/m2,17565469
-111.964,37.05143,938,KFO PORTABLE 5,18668045,2022/08/31 13:10:00+00,AAB0929E,,5370,,37.05143,-111.964,UT,Kane,BLM,R7 Upper CO Basin,KANAB,KANAB FIELD OFFICE,A,0 inches,2 mph,NO DATA,68 deg. F,NO DATA,21 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,18668045
-97.11481,30.04828,939,ROCKY HILL,,2022/03/15 12:40:00+00,,,,,,,,,,,,,,39.22 inches,6 mph,NO DATA,54 deg. F,NO DATA,52 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,19175434
-115.90942,35.7706700000001,940,HORSE THIEF SPRINGS,16799025,2022/05/05 00:51:00+00,325185B6,045129,5046,"STATION SITS IN A SADDLE BETWEEN A LARGE HILL AND MOUNTAIN.STATION IS IN A VALLEY SURROUNDED BY HIGH MOUNTAINS ALLAROUND. KINGSTON PEAK 1 3/4 MI. TO SW. MINE APPROX. 3/8 MINW. SAGE, CACTUS, YUCCA THROUGHOUT AREA.",35.77067,-115.90942,CA,San Bernardino,BLM,CALIFORNIA,CALIFORNIA DESERT,WASHINGTON D.C.,A,1.1 inches,5 mph,301 degrees ,72 deg. F,NO DATA,13 % ,13.8 volts,NO DATA,321 degrees,14 mph,446 w/m2,16799025
-115.98689,44.21092,941,PRAWS 4,,2022/05/30 12:35:00+00,,,,,,,,,,,,,,3.32 inches,6 mph,NO DATA,39 deg. F,NO DATA,84 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,18899292
-109.91389,32.7038900000001,942,COLUMBINE,16934964,2022/03/15 13:02:00+00,326B91E2,021005,9521,,32.70389,-109.91389,AZ,Graham,USFS,03,CORONADO NF,SAFFORD,1,2.8 inches,0 mph,107 degrees ,27 deg. F,21 deg. F ,26 % ,12.9 volts,10.5 (unk),151 degrees,2 mph,0 w/m2,16934964
-114.69333,33.30389,943,CIBOLA,17461274,2022/03/15 12:49:00+00,8378C19A,020121,230,,33.30389,-114.69333,AZ,La Paz,FWS,REGION 2,BUENOS AIRES NWR,,1,0 inches,0 mph,245 degrees ,38 deg. F,NO DATA,12.8 % ,NO DATA,NO DATA,0 degrees,NO DATA,NO DATA,17461274
-136.10099,58.97776,944,NUNATAK LOWER,18734872,2022/05/12 09:25:00+00,3962B076,GNLA2,15,,58.97776,-136.10099,AK,,NPS,ALASKA,SEAN Southeast AK Nt,GLBA,A,50.02 inches,0.3 mph,NO DATA,30.4 deg. F,NO DATA,91.3 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,18734872
-115.50619,38.37719,945,TIMBER MTN,17195324,2022/08/10 18:33:00+00,327013C0,109693,9000,,38.37719,-115.50619,NV,Humboldt,USFS,04,HUMBOLDT/TOIYABE NF,,A,0 inches,6 mph,328 degrees ,56 deg. F,NO DATA,85 % ,13.6 volts,NO DATA,342 degrees,10 mph,123 w/m2,17195324
-122.39028,42.6850000000001,946,ZIM,16987436,2022/03/15 12:40:00+00,16C46822,353227,4089,"This site is in a tree orchard, 12-18 yr. old tress mostlypine and littl doug fir.",42.685,-122.39028,OR,Jackson,USFS,06,ROGUE RIVER/SISKIYOU,PROSPECT R.D.,1,5.33 inches,5 mph,234 degrees ,41 deg. F,40 deg. F ,98 % ,12.9 volts,26.8 (unk),176 degrees,10 mph,0 w/m2,16987436
-116.20806,43.5650000000001,947,PRAWS 12,,2022/03/07 07:36:00+00,,,,,,,,,,,,,,0 inches,0 mph,NO DATA,31 deg. F,NO DATA,57 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,18910260
-80.90414,25.97806,948,RACCOON POINT RAWS,16908087,2022/08/31 13:23:00+00,FA50C358,086404,7,,25.97806,-80.90414,FL,,NPS,SOUTHEAST,BIG CYPRESS NP,,A,47.93 inches,2 mph,67 degrees ,85 deg. F,NO DATA,79 % ,13.4 volts,NO DATA,81 degrees,5 mph,302 w/m2,16908087
-115.79556,46.49643,949,PIERCE,16915772,2022/08/31 12:52:00+00,32374254,100711,3085,"Sits in valley bottom at typical Ranger Station setting.This site is known locally as a ""frost pocket"".Wind speed at 20 ft, 403a/LaBarge tower combination.",46.49643,-115.79556,ID,Clearwater,USFS,01,NEZ PERCE-CLEARWATER,PIERCE RD,A,36.37 inches,0 mph,71 degrees ,45 deg. F,NO DATA,97 % ,12.7 volts,NO DATA,331 degrees,1 mph,0 w/m2,16915772
-100.58167,31.9061100000001,950,PAINT CREEK,17514778,2022/03/15 13:10:00+00,88426764,419203,1854,,31.90611,-100.58167,TX,Coke,S&PF,TEXAS,TEXAS FOREST SERVICE,North,1,1.36 inches,5 mph,261 degrees ,40 deg. F,37 deg. F ,57 % ,12.9 volts,7.7 (unk),299 degrees,12 mph,0 w/m2,17514778
-122.00306,44.7219400000001,951,BOULDER CREEK,16997680,2022/07/01 08:58:59+00,3236E056,351909,3570,FIRE WEATHER FORECAST ZONE: 608,44.72194,-122.00306,OR,Marion,USFS,06,WILLAMETTE NF,,A,42.99 inches,0 mph,52 degrees ,45 deg. F,39 deg. F ,94 % ,12.7 volts,11.9 (unk),0 degrees,0 mph,0 w/m2,16997680
-115.65667,48.9166700000001,952,YAAK (UPPER FORD),17235489,2022/08/31 13:07:00+00,3273A740,240120,3000,,48.91667,-115.65667,MT,Lincoln,USFS,01,KOOTENAI NF,,A,.18 inches,0 mph,77 degrees ,38 deg. F,36 deg. F ,95 % ,13 volts,13.1 (unk),0 degrees,0 mph,1 w/m2,17235489
-120.01059,38.18616,953,PINECREST 2,,2022/04/21 11:58:00+00,,,,,,,,,,,,,,20.67 inches,2 mph,NO DATA,34 deg. F,NO DATA,96 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,17792534
-118.07556,35.88194,954,BEAR PEAK,16797738,2022/05/05 01:10:00+00,32554592,044730,8228,SITS ON HIGH FINGRE RIDGE.  SHARP SHALE AND ROCKS.  STUNTEDPINE AND MT GRASSES.  REPEATER STATION SOUTH EAST ON LOWERPEAK OF SADDLE.  MTS. IN ALL DIRECTIONS. RIDGE IS NORTHSOUTH.  OVER LOOKS RANGER STATION AND OLD QUARIES.,35.88194,-118.07556,CA,Tulare,BLM,CALIFORNIA,BAKERSFIELD,WASHINGTON D.C.,A,.24 inches,14 mph,248 degrees ,59 deg. F,NO DATA,27 % ,14 volts,NO DATA,223 degrees,25 mph,415 w/m2,16797738
-105.0565,36.35556,955,IRAWS 6 (RIM ROCK),,2022/05/03 19:44:59+00,,,,,,,,,,,,,,0 inches,9 mph,NO DATA,63 deg. F,NO DATA,16 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,18038972
-117.5037,34.3159900000001,956,MORMON ROCK,17031473,2022/03/15 13:17:00+00,32310190,045114,3514,"VALLEY SITE.  SITE BURNED OVER IN THE BLUE CUT FIRE OF 2016. Update 6/5/207 Site was moved approx. 700' 225 degrees, elevation gain of approx. 215 feet.  Change in location is intended to improve exposure to winds and out of influence from plantation.  WIMS ID remains the same.",34.31599,-117.5037,CA,San Bernardino,USFS,05,SAN BERNARDINO NF,FRONT COUNTRY RD,1,8.75 inches,10 mph,187 degrees ,46 deg. F,43 deg. F ,43 % ,12.8 volts,5.8 (unk),188 degrees,13 mph,0 w/m2,17031473
-118.97124,34.7790900000001,957,LPF05 PORTABLE (FRAZIER),18729751,2022/08/31 12:46:00+00,AAB6E4C0,,7838,,34.77909,-118.97124,CA,Ventura,USFS,05,LOS PADRES NF,MOUNT PINOS RD,A,25.67 inches,3 mph,NO DATA,65 deg. F,NO DATA,28 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,18729751
-117.095,38.4866700000001,958,QUIMA PEAK,17405990,2022/03/15 13:12:00+00,3287350C,260810,7984,Station sits just down to the east of Quima Peak is openarea of pinyon juniper.,38.48667,-117.095,NV,Lander,USFS,04,HUMBOLDT/TOIYABE NF,,1,.25 inches,8 mph,175 degrees ,34 deg. F,NO DATA,40 % ,12.9 volts,NO DATA,169 degrees,17 mph,0 w/m2,17405990
-110.61495,35.86292,959,HOPI,17357345,2022/08/31 13:14:00+00,327CE2D8,020312,5579,,35.86292,-110.61495,AZ,Navajo,BIA,Western,Hopi Agency,,A,5.56 inches,8 mph,31 degrees ,61 deg. F,NO DATA,60 % ,12.9 volts,NO DATA,23 degrees,10 mph,4 w/m2,17357345
-81.6199999999999,38.2002800000001,960,BEE MOUNTAIN,17467674,2022/03/15 13:17:00+00,90005090,463802,1353,,38.20028,-81.62,WV,Kanawha,S&PF,WEST VIRGINIA,NOT APPLICABLE,D5,1,11.97 inches,4 mph,244 degrees ,51 deg. F,NO DATA,41 % ,13 volts,NO DATA,252 degrees,9 mph,101 w/m2,17467674
-80.97806,26.30472,961,FLSEA_PORT1,,2022/08/31 13:05:59+00,,,,,,,,,,,,,,32.19 inches,0 mph,NO DATA,84 deg. F,NO DATA,83 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,17633817
-106.03667,39.8905600000001,962,KEYSER RIDGE,,2022/03/15 13:27:00+00,,,,,,,,,,,,,,2.83 inches,3 mph,NO DATA,20 deg. F,NO DATA,51 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,17767195
-107.44944,44.45583,963,MILL CREEK,16922417,2022/08/01 15:58:00+00,323A0238,480303,8898,THE SITE IS NEXT TO TRANSITION ZONE OF SAGE AND GRASS.HYATT RANCH RAWS IS IN CLOSE PROXIMITY AND REFLECTS SAGEGRASS COMPLEXS. SPRUCE FIR STANDS ARE DOMINANT SPECIES.,44.45583,-107.44944,WY,Big Horn,USFS,02,BIG HORN NF,PAINT ROCK RD,A,5.71 inches,9 mph,285 degrees ,71 deg. F,NO DATA,24 % ,13.4 volts,NO DATA,283 degrees,15 mph,559 w/m2,16922417
-120.67874,35.30298,964,SAN LUIS OBISPO,17096744,2022/08/31 12:54:00+00,CA2384AE,044915,310,,35.30298,-120.67874,CA,San Luis Obispo,S&PF,CALIFORNIA,CDF,SAN LUIS OBISPO UNIT,A,13.79 inches,3 mph,346 degrees ,55 deg. F,52 deg. F ,98 % ,12.9 volts,20.5 (unk),342 degrees,6 mph,0 w/m2,17096744
-105.25028,39.7241700000001,965,LOOKOUT MOUNTAIN,17553441,2022/07/19 17:11:00+00,328F8224,052003,7504,Open ponderosa in Jefferson County CO.,39.72417,-105.25028,CO,Jefferson,S&PF,COLORADO,,,A,8.1 inches,6 mph,294 degrees ,81 deg. F,89 deg. F ,28 % ,12 volts,7.9 (unk),274 degrees,18 mph,669 w/m2,17553441
-155.78,19.23222,966,KAHUKU,17233194,2022/03/15 13:30:00+00,32639544,496023,5894,Station located in new aquisition part of Hawaii volcanoes >N.P. - Kahuku area. Station is on the south west flankof Mauna Loa. Located in old burn. Worked with Russ Gripp on new Statewide WIMS ID system to provide consistency. Replaced on ID 499901 with New WIMS ID 496023,19.23222,-155.78,HI,Hawaii,NPS,PACIFIC WEST,HAWAII VOLCANOES NP,,1,2.43 inches,9 mph,86 degrees ,55 deg. F,NO DATA,28 % ,13 volts,NO DATA,85 degrees,13 mph,0 w/m2,17233194
-81.0827199999999,27.11963,967,BRIGHTON,,2022/08/31 13:31:59+00,,,,,,,,,,,,,,30.61 inches,2 mph,NO DATA,86 deg. F,NO DATA,82 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,17437482
-110.42317,32.6306700000001,968,RO PORTABLE #4,,2022/03/15 13:28:00+00,,,,,,,,,,,,,,0.69 inches,4 mph,NO DATA,42 deg. F,NO DATA,26 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,17869341
-123.77861,43.00167,969,SIGNAL TREE,16853303,2022/05/05 00:35:00+00,324FB3DA,352816,3294,THIS STATION IS LOCATED ON TOP OF A FLAT MOUNTIANPEAK NEAR THE SOUTH EDGE. THERE ARE THREE BUILDINGSAND TWO TOWERS WITH MICROWAVE ANTENNA DISHES.,43.00167,-123.77861,OR,Coos,BLM,OREGON,COOS BAY,OR & CA RR PROP,A,15.43 inches,15 mph,291 degrees ,57 deg. F,NO DATA,68 % ,13.6 volts,NO DATA,278 degrees,22 mph,550 w/m2,16853303
-122.69747,41.1094800000001,970,SCORPION,16966199,2022/08/31 13:31:59+00,32421044,040517,3365,"MIDSLOPE SITE,",41.10948,-122.69747,CA,Trinity,USFS,05,SHASTA TRINITY NF,Weaverville,A,28.42 inches,0 mph,78 degrees ,65 deg. F,61 deg. F ,50 % ,12.7 volts,7.3 (unk),326 degrees,2 mph,0 w/m2,16966199
-118.42007,44.4399300000001,971,NRAWS 17 (ELKHORN RPTR),18489361,2022/08/31 13:21:59+00,15C120DC,,6748,"Sits on top of repeater site, mostly open and clear.  Mounted on old style tower with 45 degree bars. Heavy forest surrounds the area.",44.43993,-118.42007,OR,Baker,NWS,,,Boise WFO,A,15.73 inches,0 mph,NO DATA,70 deg. F,NO DATA,22 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,18489361
-113.81611,36.5072200000001,972,OLAF KNOLLS,16788271,2022/03/15 12:33:59+00,3258F57A,020108,2900,"TERRAIN IS ROLLING HILLS WITH MTNS. 2000' HIGHER IN SEOF SITE.  AREA COVERED BY ANNUAL GRASS AND JOSHUA, ALSOSAGEBRUSH AND CREASOTE.  SLOPE IS 3% TO SW AT 225 DEGREES.",36.50722,-113.81611,AZ,Mohave,BLM,ARIZONA,ARIZONA STRIP,WASHINGTON D.C.,1,.51 inches,14 mph,44 degrees ,49 deg. F,NO DATA,27 % ,12.8 volts,NO DATA,34 degrees,20 mph,0 w/m2,16788271
-120.85582,36.3825400000001,973,HERNANDEZ,17094693,2022/03/15 13:07:00+00,CA2341B0,044409,3733,"Top of Ridge running generally north-south; adjacent to repeater site",36.38254,-120.85582,CA,San Benito,S&PF,CALIFORNIA,CDF,SAN BENITO/MONT UNIT,1,7.17 inches,9 mph,259 degrees ,52 deg. F,51 deg. F ,45 % ,12.9 volts,7 (unk),251 degrees,11 mph,0 w/m2,17094693
-111.37944,43.04972,974,DALE BITNER,17344287,2022/03/15 12:45:00+00,83751494,103102,6391,,43.04972,-111.37944,ID,Bonneville,FWS,REGION 1,GRAYS LAKE NWR,GRAYS LAKE NWR,1,0 inches,15 mph,121 degrees ,19 deg. F,17 deg. F ,78 % ,12.5 volts,24.7 (unk),120 degrees,17 mph,0 w/m2,17344287
-92.78293,31.89878,975,GUM SPRINGS,17054245,2022/08/27 05:42:59+00,32744686,161902,300,Station is located in open glade in mixed canopy forest. WS/WD are on top of 125 foot cab style lookout tower. Site is,31.89878,-92.78293,LA,Winn,USFS,08,KISATCHIE NF,WINN RD,A,32.36 inches,3 mph,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,17054245
-116.31456,39.06625,976,SEVEN MILE,16818505,2022/03/15 12:36:59+00,324DE652,109993,7725,station sits on a knoll overlooking pynion and grass valley.,39.06625,-116.31456,NV,Eureka,BLM,NEVADA,BATTLE MOUNTAIN,WASHINGTON D.C.,1,.4 inches,8 mph,142 degrees ,34 deg. F,NO DATA,46 % ,13 volts,NO DATA,155 degrees,16 mph,0 w/m2,16818505
-114.75735,43.9521500000001,977,HORTON PEAK,16947765,2022/07/06 18:43:00+00,325EA5C8,101812,8800,Midslope ridgeFIRE WEATHER FORECAST ZONE: 422,43.95215,-114.75735,ID,Custer,USFS,04,SAWTOOTH NF,SAWTOOTH NRA,A,.21 inches,5 mph,185 degrees ,63 deg. F,67 deg. F ,40 % ,13.5 volts,8.3 (unk),148 degrees,10 mph,479 w/m2,16947765
-78.09935,36.36139,978,WARRENTON,17348648,2022/08/31 13:17:00+00,407182F6,311001,435,Mowed yard at Warren County NCFS HQ.,36.36139,-78.09935,NC,Warren,S&PF,NORTH CAROLINA,DIV. OF FOREST RES.,,A,29.9 inches,2 mph,292 degrees ,75 deg. F,79 deg. F ,85 % ,13.4 volts,23.7 (unk),312 degrees,8 mph,254 w/m2,17348648
-116.20861,43.55972,979,IRAWS 20,,2022/02/23 16:02:00+00,,,,,,,,,,,,,,0 inches,0 mph,NO DATA,73 deg. F,NO DATA,11 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,17972633
-91.11697,45.43778,980,LADYSMITH,17452578,2022/08/31 13:05:59+00,53710180,471601,1162,,45.43778,-91.11697,WI,Rusk,S&PF,WISCONSIN,DNR,Park Falls DG,A,22.6 inches,2 mph,272 degrees ,65 deg. F,60 deg. F ,85 % ,13.4 volts,24.2 (unk),287 degrees,4 mph,116 w/m2,17452578
-122.20972,41.5341300000001,981,BOLAM,,2022/03/15 13:04:00+00,,,,,,,,,,,,,,4.69 inches,6 mph,NO DATA,40 deg. F,NO DATA,88 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,17843735
-120.22952,38.34587,982,COTTAGE,17309755,2022/08/01 20:55:00+00,32870096,043210,6064,On Summit Level Ridge near Cottage Springs in theNorth Fork of the Stanislaus River watershed.,38.34587,-120.22952,CA,Calaveras,USFS,05,STANISLAUS NF,CALAVERAS R.D.,A,24.05 inches,8 mph,195 degrees ,74 deg. F,85 deg. F ,43 % ,13.5 volts,7 (unk),202 degrees,18 mph,704 w/m2,17309755
-118.56581,35.77306,983,IRAWS 46 (TIGER FLATS),,2022/03/04 12:33:59+00,,,,,,,,,,,,,,0 inches,0 mph,NO DATA,36 deg. F,NO DATA,69 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,17996675
-119.17556,36.9621300000001,984,FENCE MEADOW,17120577,2022/04/27 18:01:00+00,326DB7C0,044503,5240,"Located at Fence Meadow Lookout on a ridgetop. Sparse vegnear station, ridgeline runs south to north. Lookout tower 250 feet south of station.",36.96213,-119.17556,CA,Fresno,USFS,05,SIERRA NF,HIGH SIERRA RD,A,18.29 inches,7 mph,253 degrees ,55 deg. F,78 deg. F ,53 % ,13.6 volts,9.5 (unk),252 degrees,12 mph,790 w/m2,17120577
-118.04417,41.6525,985,DOUBLE H,16814659,2022/08/31 12:46:59+00,3250122E,260207,6380,"STATION IS ON THE NORTH END OF THE DOUBLE ""H"" MOUNTIANS
JUST SOUTH AND ABOVE THACKER PASS THE MOUNTIANS RUN NORTH
AND SOUTH BETWEEN KINGS RIVER VALLEY(WEST) AND QUINN RIVER
VALLEY(EAST) AT THE HEAD OF MOONSHINE CANYON FUEL TYPE IS
PRIMARILY PERENIAL GRASS (NFDRS) WITH SOME SAGE REGROWTH",41.6525,-118.04417,NV,Humboldt,BLM,R10 CA Great Basin,WINNEMUCCA,,A,3.95 inches,2 mph,205 degrees ,74 deg. F,NO DATA,21 % ,13 volts,NO DATA,197 degrees,5 mph,0 w/m2,16814659
-123.8025,45.4572200000001,986,TILLAMOOK,17175066,2022/07/27 22:12:59+00,60010094,350208,11,,45.45722,-123.8025,OR,Tillamook,S&PF,OREGON,DEPT OF FORESTRY,,A,87.09 inches,6 mph,300 degrees ,68 deg. F,85 deg. F ,73 % ,13.2 volts,9.6 (unk),269 degrees,14 mph,793 w/m2,17175066
-120.36469,38.3423300000001,987,BLUE MTN LOOKOUT,,2022/08/31 12:33:59+00,,,,,,,,,,,,,,25.84 inches,6 mph,NO DATA,71 deg. F,NO DATA,21 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,18975246
-158.70417,68.0708300000001,988,NOATAK,16903982,2022/07/19 20:58:00+00,FA601340,500102,985,STATION is a FTS platform with Handar sensors and is mountedon a Handar 403 tripod with a 20' mast.,68.07083,-158.70417,AK,Northwest Arctic,NPS,ALASKA,NOATAK NP,,A,2.43 inches,15 mph,145 degrees ,45 deg. F,NO DATA,78 % ,12.8 volts,NO DATA,152 degrees,23 mph,325 w/m2,16903982
-118.80922,36.41067,989,CASE MOUNTAIN,17338666,2022/05/05 00:35:00+00,3268751E,044733,6450,"STATION SITES ON A RIDGE LINE. IT IS WEST OF SEQUOIA PARKIT HAS LARGE TREES TO THE NORTH, TO THE SOUTH IS LARGEVALLEY RUNNING EAST WEST.CASE MTN GROVE 1/2 MI SE. CINNAMONGAP 1 MI SW.",36.41067,-118.80922,CA,Tulare,BLM,CALIFORNIA,BAKERSFIELD,,A,14.47 inches,3 mph,218 degrees ,65 deg. F,NO DATA,27 % ,13.4 volts,NO DATA,208 degrees,10 mph,524 w/m2,17338666
-118.77189,37.8388800000001,990,DEXTER,16953645,2022/07/29 20:53:00+00,32429650,043711,7981,VALLEY,37.83888,-118.77189,CA,Mono,USFS,05,INYO NF,MONO LAKE RD,A,5.74 inches,7 mph,20 degrees ,80 deg. F,86 deg. F ,16 % ,13.8 volts,4 (unk),5 degrees,14 mph,277 w/m2,16953645
-122.35975,37.2757300000001,991,CALFIRE PORTABLE 17,,2022/08/31 13:20:00+00,,,,,,,,,,,,,,18.1 inches,6 mph,NO DATA,54 deg. F,NO DATA,100 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,19119389
-92.46167,31.5022200000001,992,CATAHOULA,17053222,2022/03/15 12:43:00+00,323BE330,162502,230,Station is located at the Catahoula Work Center. The stationis set on a Handat lunar lander with 20' letdown. The rubberOwl mounted next to the rain guage appears to be keeping thebirds away. Area is open and well away fron wind obstruction,31.50222,-92.46167,LA,Grant,USFS,08,KISATCHIE NF,CATAHOULA RD,1,13.67 inches,1 mph,243 degrees ,50 deg. F,47 deg. F ,99 % ,12.9 volts,25.3 (unk),239 degrees,4 mph,2 w/m2,17053222
-111.28306,34.40583,993,SHADOW RIM,17553943,2022/08/31 13:09:00+00,329286DC,020611,5543,,34.40583,-111.28306,AZ,Gila,USFS,03,TONTO NF,,A,14.51 inches,2 mph,327 degrees ,60 deg. F,57 deg. F ,67 % ,12.8 volts,12.6 (unk),331 degrees,4 mph,1 w/m2,17553943
-80.10042,40.93521,994,MORAINE STATE PARK,18192414,2022/03/15 12:51:00+00,32D81130,360191,1105,Moraine State Park,40.93521,-80.10042,PA,Butler,S&PF,PENNSYLVANIA,,,1,9.39 inches,0 mph,NO DATA,31 deg. F,NO DATA,93 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,18192414
-116.10806,55.39583,995,3 MILE (TEST),17192241,2022/03/13 19:12:59+00,326F772A,102004,9991,"south facing slope,knob 100 feet in diameter mid slope",55.39583,-116.10806,ID,Clark,USFS,04,CARIBOU/TARGHEE NF,DUBOIS RD,1,.72 inches,4 mph,143 degrees ,38 deg. F,32 deg. F ,60 % ,14.5 volts,27.3 (unk),185 degrees,8 mph,526 w/m2,17192241
-109.83889,37.85472,996,NORTH LONG POINT,16945715,2022/08/31 12:39:00+00,3241174A,422710,8680,FIRE WX FORECAST ZONE: 434,37.85472,-109.83889,UT,San Juan,USFS,04,MANTI LA SAL NF,MONTICELLO,A,6.83 inches,2 mph,133 degrees ,53 deg. F,43 deg. F ,54 % ,12.7 volts,10.6 (unk),149 degrees,6 mph,0 w/m2,16945715
-75.4152799999999,38.7416700000001,997,REDDEN,17418268,2022/03/31 13:09:00+00,DF10036A,070052,50,,38.74167,-75.41528,DE,Sussex,S&PF,DELAWARE,,,1,8.22 inches,5 mph,227 degrees ,65 deg. F,66 deg. F ,77 % ,13.6 volts,16 (unk),189 degrees,16 mph,122 w/m2,17418268
-121.10935,35.5953700000001,998,SAN SIMEON,,2022/08/31 12:33:59+00,,,,,,,,,,,,,,13.92 inches,1 mph,NO DATA,51 deg. F,NO DATA,96 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,18975506
-104.21889,39.08597,999,RAMAH,,2022/05/10 04:07:00+00,,,,,,,,,,,,,,1.13 inches,7 mph,NO DATA,53 deg. F,NO DATA,51 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,19381002
-116.20833,43.5650000000001,1000,HURON-MANISTEE EAST PORT,17561631,2022/06/22 06:16:00+00,32467098,,2865,,43.565,-116.20833,ID,Ada,USFS,09,HURON-MANISTEE NF,,A,0 inches,2 mph,145 degrees ,67 deg. F,68 deg. F ,43 % ,12.9 volts,4.9 (unk),133 degrees,4 mph,NO DATA,17561631
-113.63123,42.09101,1001,CITY OF ROCKS,,2022/08/31 12:58:00+00,,,,,,,,,,,,,,5.68 inches,5 mph,NO DATA,59 deg. F,NO DATA,44 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,17818133
-122.14472,37.7861100000001,1002,OAKLAND SOUTH,17064214,2022/08/31 12:33:00+00,CA4A15A2,043403,1095,,37.78611,-122.14472,CA,Alameda,S&PF,CALIFORNIA,Oakland,,A,.07 inches,7 mph,243 degrees ,53 deg. F,53 deg. F ,100 % ,12.7 volts,23.8 (unk),228 degrees,12 mph,0 w/m2,17064214
-112.21056,45.25278,1003,DILLON #2 PORTABLE,,2021/12/15 12:48:00+00,,,,,,,,,,,,,,0 inches,1 mph,NO DATA,20 deg. F,NO DATA,84 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,17434968
-99.9047199999999,35.70806,1004,CHEYENNE,17464865,2022/03/24 05:58:59+00,328E15BC,343301,2352,,35.70806,-99.90472,OK,Roger Mills,USFS,03,CIBOLA NF,BLACK KETTLE RD,1,2.09 inches,8 mph,257 degrees ,32 deg. F,29 deg. F ,71 % ,13 volts,10.3 (unk),251 degrees,11 mph,0 w/m2,17464865
