city,country,beach,mountain,history,food,city_life,countryside,nightlife,couple_friendly,outdoor,spiritual,sights,desc,Best_time,img
Edinburgh,Scotland,0,0,1,1,0,1,1,1,0,0,"Edinburgh Castle,National Museum of Scotland,Arthur's Seat,Palace of Holyroodhouse,Scottish National Gallery,Calton Hill,Edinburgh Zoo,Royal Botanic Garden Edinburgh,Royal Mile,Old Town ghost tour","Scotland’s capital, with hilltop Edinburgh Castle, Royal Mile shopping & big summer arts festivals.Historic, creative, happening – this city is one to watch.Scotland’s capital city, Edinburgh is renowned for its heritage, culture, and festivals. Take a long walk around the center to explore the World Heritage Sites of the Old Town and New Town, as well as all the area’s museums and galleries. Pause to fortify yourself with tea and scones at the city’s charming tea rooms or duck into a traditional pub. Then head out to take in one of Edinburgh’s many events—including the famous summer festivals of culture, or the Winter Festivals of music, light, and ceilidhs.","Scotland is a country that’s prone to rain; showers can strike and last all day even during the summer months. To maximize your chance of dry skies, visit during the month of May, when daylight hours last longer and rainfall sees its annual low. Average daily temperatures in May are highs around 14 C/58 F and lows around 6 C/44 F.",https://img.delicious.com.au/NSk5SvLt/del/2018/12/edinburgh-scotland-97409-2.jpg
Los Angeles,USA,1,0,0,1,1,0,1,1,0,0,"Los Angeles County Museum of Art,Disneyland Park,The Getty,Universal Studios Hollywood,Santa Monica Pier,Griffith Observatory,Hollywood Sign,The Huntington Library, Art Museum,The Broad","A playground for sun seekers, creatives and foodies.Sunny city known for the Hollywood film industry, Venice & Santa Monica beaches & Lakers basketball.Beaches, palm trees, and A-list glamour—it's all part of LA's myth and magic.Los Angeles has always been shorthand for cinematic sparkle. Seeking out red carpet Tinseltown glamour? Tour movie studios, touch TLC Chinese Theatre’s famed hand prints, or linger in LA’s trendy eateries to do a little celeb spotting. You could also see your favorite star while touring an exhibit at The Broad or LACMA. If all else fails, you’re guaranteed to see marquee names at the Hollywood Forever Cemetery. And for a different type of star-gazing, peek through the telescopes at the Griffith Observatory.","It’s sunny in Los Angeles all year-round, but to avoid the biggest crowds and the soaring summer heat—temperatures regularly climb over 85°F (30°C) in August—visit in spring or fall. Seasonal events such as Coachella (April), L.A Pride (June), and the L.A County Fair (Sept) pull in the masses, but otherwise, it’s the ideal time for sightseeing.",https://img.delicious.com.au/y8WbXmoN/del/2018/12/los-angeles-97410-2.jpg
zealand,Denmark,0,0,0,1,0,1,0,1,0,0,"Tivoli Gardens,The Little Mermaid,Nyhavn,Rosenborg Castle,Amalienborg,Christiansborg Palace,The Round Tower,National Museum of Denmark,Carlsberg Glyptotek,HC Andersen tour","Arts, underground bars and world-class dining in one beautiful spot.Denmark’s capital with Tivoli amusement park, royal palaces & iconic statue of “The Little Mermaid.""Copenhagen was once a Viking fishing settlement, and you can still find traces of the Norse explorers here. Visit reconstructed villages, the remains of a 1,000-year-old castle, and museums dedicated to the notorious raiders. Copenhagen also features a blend of modern architecture and historical artifacts such as the Round Tower observatory – a wonderful example of 17th-century architecture. Art galleries, narrow streets, canals, parks, and Baroque churches round out the city’s cultural attractions.",All year.,https://img.delicious.com.au/IfD4cIOg/del/2018/12/copenhagen-denmark-97411-2.jpg
Osaka,Japan,0,0,0,1,1,1,1,1,0,0,"Osaka Castle,Universal Studios Japan,Dotombori,Osaka Aquarium Kaiyukan,Umeda Sky Building,Shitennoji,Tsutenkaku,Kuromon Market","A food-lover’s dream, this neon-lit city is a must-visit in Japan.Modern Japanese port city famous for its busy nightlife, restaurants & Osaka Castle.Home to nearly nine million and powering an economy that exceeds both Hong Kong's and Thailand's, Osaka packs quite a punch. The confident, stylish city is a shopping hub, with fabulous restaurants and nightlife. It's an ideal base for exploring the Kansai region; Kyoto's World Heritage Sites, Nara's temple, and Koya-san's eerie graves are within 90 minutes by train. Top city attractions include the aquarium, Osaka Castle, Universal Studios Japan, and the futuristic Floating Garden Observatory.",All year.,https://img.delicious.com.au/Odi3Q_q0/del/2018/12/osaka-japan-97412-2.jpg
Auckland,New Zealand,1,0,0,1,1,1,1,1,0,0,"Auckland War Memorial Museum,Sky Tower,Auckland Art Gallery Toi o Tāmaki,Auckland Zoo,SEA LIFE Kelly Tarlton's Aquarium,Sofitel Auckland Viaduct Harbour,MOTAT Museum of Transport,Dolphin tour,Native forest hikes","A hub for fine food, coffee and cultural happenings across the pond.New Zealand city with busy port, home to Sky Tower viewpoint & Maori artifacts in Auckland Museum.The Māori call Auckland Tāmaki Makaurau — a maiden desired by 100 lovers, and a valuable territory fought over for centuries for its fertile land and natural harbors on the Pacific Ocean (to the east) and Tasman Sea (to the west). Today, it’s New Zealand’s largest city: A vibrant and diverse place where nature and urban life go hand-in- hand, with 48 volcanic cones, more than 50 islands, and 29,000 km of coastline and beaches just minutes away from the arts and shopping of the central city.",All year.,https://img.delicious.com.au/h5ocbm6d/del/2018/12/auckland-new-zealand-97413-2.jpg
Mumbai,India,1,0,0,1,1,0,1,1,0,0,"Chhatrapati Shivaji Maharaj Terminus,Gateway Of India Mumbai,Elephanta Caves,Marine Drive,Haji Ali Dargah,Kanheri Caves","Witness the action of this popular city on India’s west coast.Massive city, home to Bollywood, grand colonial buildings & bazaars packed with antiques & textiles.Though Mumbai can feel chaotic and crowded, there are peaceful moments to be found here. Nibble a paper cone of bhelpuri while you stroll the sands of Chowpatty Beach. Then, take a short walk to Mani Bhavan, where Mahatma Gandhi once lived, strategized, and was ultimately arrested. The markets are spirited places to bargain for spices or souvenirs. Take a guided tour of Dharavi – made famous by ""Slumdog Millionaire"" – for an eye-opening glimpse into what Mumbai life is like for nearly a million people.city od vada pav and rush. party place for youngsters.",All year.,https://img.delicious.com.au/tJbFHPBs/del/2018/12/mumbai-india-97414-2.jpg
Dubai,UAE,1,0,0,1,1,0,1,1,0,0,"Burj Khalifa,Burj Al Arab,The Dubai Mall,Ski Dubai,Dubai Aquarium & Underwater Zoo,The Dubai Fountain,Dubai Miracle Garden,Aquaventure Waterpark,Jumeirah Beach Hotel,Water parks","Modern, fun and on the rise, this is more than just a stopover.Gulf city with skyscrapers like Burj Khalifa, huge malls & Atlantis, a resort on artificial islands.Dazzling and dizzying, a city of superlatives.Largest. Tallest. Biggest. Dubai does everything to the extreme, standing out for its uber-modern design in a historically conservative country. The soaring skyscrapers, palm-shaped islands, and golden beaches, paired with vibrant nightlife, luxury shopping, and world-class dining, make the city a sight to behold and be explored.","Winter (November to March): Dubai has a hot desert climate with two distinct seasons. The winter months have the most pleasant weather, ideal for outdoor activities. The average daytime high is around 27°C with lows of around 17°C.",https://img.delicious.com.au/JRqPDi6I/del/2018/12/dubai-united-arab-emirates-97416-2.jpg
Munich,Germany,0,0,0,0,1,1,1,1,0,0,"Nymphenburg Palace,Marienplatz,Munich Residenz,Deutsches Museum,Hofbräuhaus München,Olympiapark,Mountain lake visit","A city made for clinking beer steins as you soak in Bavarian charm.Contemporary, fun and green. You might just want to move here.Munich’s medieval old town, is known for its pedestrian streets lined with global flagship stores and boutiques selling traditional Bavarian costumes. Crowds gather on central Marienplatz to watch life-size figurines emerge from the neo-Gothic New Town Hall’s bell tower. The Hofbräuhaus is a huge beer hall dating to the 16th century, while Viktualienmarkt combines gourmet food stalls and a beer garden.Munich exudes Bavarian enchantment. Beer fanatics should head immediately to the Hofbräuhaus, a hops heaven that’s been churning out the good stuff since 1589. The drinking is downright legendary during Oktoberfest, a celebration of local beers and German specialty foods. Emulate world-class athletes at the Olympiapark, where skating on the Olympic ice rink will make you feel like a champion. The promenade of Marienplatz is perfect for people watching and gawking at the Glockenspiele of City Hall.","Many visitors come to visit to celebrate the city’s famous Oktoberfest but, if you want to avoid crowds, between March and May is an ideal time. Fall’s crowds have long gone and summer's peak season hasn't yet begun. Average high temperatures are the high 40s °F (10 C) in March and high 60s °F (19 C) in May.",https://img.delicious.com.au/Pq5tF1id/del/2019/01/munich-germany-99993-3.jpg
Hong Kong,China,0,0,0,1,1,0,1,1,0,0,"Hong Kong Disneyland,Victoria Peak,Ocean Park,Tian Tan Buddha,Victoria Harbour,Ngong Ping 360,Temple Street Night Market,The Peak Tram,Symphony of Lights,Waterfront promenades","Autonomous Chinese territory known for skyscrapers, shopping, Victoria Peak & Kowloon.Explore the streets of this bustling Chinese city.Delectable dim sum, floating islands, and a one-of-a-kind skyline are just some of Hong Kong’s enchanting features. Eat your way across Temple Street Night Market with its fish balls and stinky tofu, or settle in for dim sum at Michelin-starred venues like Tim Ho Wan. For traditional Chinese architecture, head to Ngong Ping Village, then take the tram to the tippity-top of Victoria Peak for skyscraper views. The gentle hills of Nan Lian Garden will deliver serenity, but a detour through the city’s cocktail bars will bring back Hong Kong’s urban buzz.","Dry season (November to April): Generally speaking, Hong Kong's weather is mainly hot and humid. For this reason, many feel the best time to visit is from November to April during the cool and dry season. Average temperatures range from 20-23°C (68-73°F), usually with lots of sunshine. There is less rain and the humidity levels are lower, making it a more pleasant time of the year to visit.",https://img.delicious.com.au/RKkLKri4/del/2018/12/hong-kong-china-97417-2.jpg
Qatar,Qatar,1,0,0,0,0,0,1,1,0,1,"Museum of Islamic Art,Souq Waqif,National Museum of Qatar,The Pearl-Qatar,Katara - The Cultural Village Foundation,Doha Corniche,Aspire Park,Sheikh Faisal Bin Qassim Al Thani","Desert, beach and lush gardens abound in this thriving destination.Desert country known for futuristic architecture in the capital of Doha, beaches & camel racing.The shining jewel of Qatar, Doha is a multicultural city, home to most of the country's population as well as expatriate communities from a range of origins. Shopping abounds in the city's plentiful malls, while the Corniche impresses visitors with picturesque architecture and dazzling views of the harbor. Doha boasts myriad cultural facilities, including the futuristic Education City and the National Museum.",All year.,https://img.delicious.com.au/mCVCUFM-/del/2018/12/qatar-state-of-qatar-97418-2.jpg
Seattle,USA,0,1,0,0,1,0,1,1,0,0,"Space Needle,Museum of Pop Culture,Seattle Art Museum,Chihuly Garden and Glass,Woodland Park Zoo,Seattle Aquarium,Discovery Park,Olympic Sculpture Park,The Museum of Flight","There’s more to be experienced than coffee and grunge in this ever-evolving city.In Seattle you simply can’t skip the Central Public Library – a modern architectural marvel of glass grids, unusual shapes, and a “book spiral” that climbs four stories. Stroll over to Pike Place Market to visit the original Starbucks and play catch with a fishmonger. In the heart of the city lies Chihuly Garden and Glass, which will dazzle you with its colorful and delicate works. Glide to the top of the Space Needle for panoramic views of the surrounding mountain ranges and Puget Sound.City of coffee lovers.",All year.,https://img.delicious.com.au/dUsJaCMv/del/2018/12/seattle-usa-97420-2.jpg
Oslo,Norway,0,1,1,1,0,1,1,1,1,0,"The Vigeland Park,Viking Ship Museum,Akershus Fortress,Oslo Opera House,The Royal Palace,The Norwegian Museum of Cultural,Munch Museum,Astrup Fearnley Museum of Modern,The Fram Museum,Scandinavian cottages,Island day trip","A fascinating surprise package on the southern coast of Norway.Norwegian capital known for Bygdøy Peninsula museums, green spaces & Holmenkollbacken ski jump.Satte of vikings.The 1000-year-old Norwegian capital sits at the head of Oslo Fjord. This stunning setting gives hints of the wild wonders that lie just beyond the city. From taking in visual delights at Vigeland Sculpture Park, the Viking Ship Museum, the Munch Museum and Holmenkollen, to the challenging content within the new Nobel Peace Centre and the Holocaust Center, Oslo offers plenty of food for thought. The Oslo Pass allows free travel on public transport, free parking and many museum and sight admissions.",All year.,https://img.delicious.com.au/HXG-5zOx/del/2018/12/oslo-norway-97421-2.jpg
Bath,UK,0,0,1,1,0,1,0,1,1,0,"The Roman Baths,Bath Abbey,Fashion Museum Bath,Thermae Bath Spa,The Royal Crescent,Pulteney Bridge,National Trust - Prior Park Landscape","Photograph love?? Get your fix of Instagram fodder in this picture-perfect and quaint city.Spa town known for its Roman Baths & elegant Georgian architecture, including The Royal Crescent.Known for its restorative wonders, Bath was once the home of Jane Austen. Sure, you could attempt to conjure up this elegant city by reading Pride and Prejudice in your tub, but as Bath has a lot more history than your bathroom (we assume, anyway) you'd be missing out. A stroll through Bath is like visiting an open-air museum, with roughly 5,000 buildings in the city drawing notice for their architectural merit. After your stroll, soak in the natural hot waters of the Thermae Bath Spa, once a favorite of the Celts and Romans.",All year.,https://img.delicious.com.au/IAvISo4V/del/2018/12/bath-uk-97422-2.jpg
Athens,Greece,1,0,1,0,0,1,0,1,0,0,"Acropolis of Athens,Parthenon,Acropolis Museum,Temple of Olympian Zeus,Ancient Agora of Athens,Panathenaic Stadium,Mount Lycabettus,Odeon of Herodes Atticus","Greek food and ancient history – need we say more?Greece’s capital, famous for preserved ancient ruins like the Acropolis citadel & Parthenon temple.Once the heart of one of the most powerful civilizations in the Neolithic Age, Athens is dominated by colossal architectural feats of the ancient past, from the Acropolis to the Temple of Olympian Zeus. However, the neighborhoods and backstreets of Athens reveal a delightfully modern and laidback energy, with lively urban restaurants and edgy galleries, set against relics of a bygone era. Those seeking respite from the bustle can take a stroll down its gleaming coastline, with pristine waters and relaxing beach resorts.","Athens summers are scorching, with average daily highs around 95 F (35 C) and lows of 76 F (25 C) that can hinder outdoor exploration, so visit from March through May or September through November to experience the milder temperatures — think highs of 76 F (24 C) and lows around 61 F (16 C) and almost-guaranteed sunshine.",https://img.delicious.com.au/po-s_ja5/del/2018/11/athens-greece-92871-3.jpg
Vienna,Austria,0,0,0,0,0,1,1,1,0,0,"Schönbrunn Palace,St. Stephen's Cathedral,The Hofburg,Belvedere Palace,Vienna State Opera,Kunsthistorisches Museum Wien,Albertina,Prater,MuseumsQuartier,Christmas markets,Kahlenberg mountain hike","This arts and music-centric city is a cultural delight.Austrian capital with museums & Vienna State Opera performances, plus Schönbrunn & Hofburg palaces.A city full of the finer things in life, from palaces to pastries.In Vienna, the coffee house isn’t just a hangout—it’s an institution. According to UNESCO, lingering over a newspaper with a pastry and a strong espresso drink is officially a cornerstone of Viennese culture. Walk off your slice of Sachertorte with a self-guided tour of the city’s stunning traditional, Secessionist, and modern architecture, such as the Imperial Palace, the State Opera House, the Kirche am Steinhof, or the Kunsthistorisches Museum, an exercise in ornate geometry.Baroque streetscapes and imperial palaces set the stage for Vienna's artistic and musical masterpieces alongside its coffee-house culture and vibrant epicurean and design scenes.","Winter: Winter is a magical time to visit Vienna, with its UNESCO-listed palaces lit up with festive illuminations, atmospheric Christmas markets and the New Year’s Eve Imperial Ball marking the start of the ball season. You can expect average daily temperatures in Vienna this time of year to be highs of 39 Fahrenheit (4 Celsius) and lows around 32 Fahrenheit (0 Celsius).",https://img.delicious.com.au/S-8TVY1G/del/2018/12/vienna-austria-97425-2.jpg
Madrid,Spain,0,0,1,1,1,1,1,1,0,0,"Museo Nacional del Prado,El Retiro Park,Museo Nacional Centro de Arte Reina,Plaza Mayor,Royal Palace of Madrid,Temple of Debod,Rooftop bar views,Lavapiés area walk","Some of the world’s best galleries and museums reside in this food-forward city.Spain's capital, home to the Royal Palace & major art museums like the Prado & Reina Sofía.The storybook capital of Spain, fueled by Spanish food and wine.If Madrid feels like a fairytale, it’s partially because so many buildings here have a confectionary, castle-like look to them. Even City Hall is astounding, with its white pinnacles and neo-Gothic features. A self-guided architecture tour can begin by the great bear statue in the central Puerta del Sol. Wander by the fanciful Royal Palace before absorbing the natural beauty of Retiro Park, then visit one of the city’s many art museums. Artistry can also be found on your plate and in your glass, so close out each day sipping Spanish rioja and sampling tapas.","Summer temperatures can reach more than 86°F (30°C) in the city and many locals head out to the provinces in July and August. Many local bars, restaurants, and shops close down during this period. Spring and fall offer more pleasant weather for sightseeing, as well as festivals such as the San Isidro festival (May), Flamenco Madrid festival (June), and the European White Nights Festival (Sept.).",https://img.delicious.com.au/NxQ49oAL/del/2018/12/madrid-spain-97426-2.jpg
Dublin,Ireland,0,0,1,1,1,1,1,1,0,0,"Guinness Storehouse,Dublin Castle,Kilmainham Gaol,Phoenix Park,St Patrick's Cathedral,National Gallery of Ireland,Christ Church Cathedral,Malahide Castle & Gardens","Grab a Guiness, visit historical structures,irish castles and sample the growing food scene and Scenic train ride. A cultural powerhouse live with history, artistry, and spirit to spare.Dublin brings to mind literary giants, Georgian architecture, and Guinness galore. Nights here are alive with pub crawls and spirited music. But the days are also full of revelry, with enchanting architecture, tucked-away bookstores, and singular museums like the Chester Beatty. Green spaces abound, such as the St Stephens Green or Iveagh Gardens. And no trip is complete without a tour of a local distillery, where you can sample local spirits like Jameson or Teeling.","Summer: Dublin is prone to rain regardless of what time of year you visit. However, to lower your chances of showers, visit during the summer months of June, July, and August, when the weather is generally warm and sunny. May and September promise the fewest crowds and mildest weather.",https://img.delicious.com.au/MmaZLcyU/del/2018/12/dublin-republic-of-ireland-97428-2.jpg
Florence,Italy,0,0,1,1,0,1,0,1,1,0,"Uffizi Gallery,Cathedral of Santa Maria del Fiore,Ponte Vecchio,Palazzo Vecchio,Basilica of Santa Croce in Florence,David of Michelangelo,Pitti Palace,Accademia Gallery,The Boboli Gardens","If you haven’t been here, do you really love Italian cuisine?A wonderland of art and architecture, all fueled by Tuscan food and wine.Florence makes art-lovers' hearts beat double time. Fans of Renaissance art will feel giddy touring The Galleria dell'Accademia, which is bursting with works by Michelangelo. Architecture buffs can admire the ancient Ponte Vecchio bridge, while serious shoppers can spend a blissful afternoon wandering the shops of Piazza Santo Spirito. Fuel your exploration with restaurants that pay homage to the region’s bounty. When you swipe a hunk of crusty bread across a pool of local olive oil, you'll understand how sublime Tuscan food can be.","Summer: The best time to visit Florence is April-June and September, which is also the busiest and most expensive time as well. The average daily temperatures then are warm, but not too hot, as they can be in July and August when average daily highs can hit 88 Fahrenheit (31 Celsius). To that end, many businesses may close in August for locals to escape the heat.",https://img.delicious.com.au/E6jO20Oq/del/2018/12/florence-italy-97429-2.jpg
Bruges,Belgium,0,0,1,0,0,1,0,1,0,0,"Belfry of Bruges,Church of Our Lady Bruges,Groeninge Museum,Basilica of the Holy Blood,Plaza Gran Mercado,Burg Square,Boudewijn Seapark,Minnewater,Bootstour Brügge","There really can’t be many cities as postcard-ready as this canal city.Medieval city known for its 13th-century belfry, canals & handmade lace, plus Zeebrugge port.What could be more romantic and inspiring than a place that looks like a backdrop for a fairy tale? The medieval overtones of Bruges’ cobblestone streets lead to countless historical, architectural and artistic wonders. Marvel at ornate houses lining intricate canals, and understand why this is a favorite destination for all types of travelers. The whole city emanates an appreciation of the past, a love of the present, and enthusiasm for the future. Don’t miss Hof Bladelin, Groeninge Museum, Church of Our Lady, and Belfry and Market Halls.",All year.,https://img.delicious.com.au/w0ZIWSz6/del/2018/12/bruges-belgium-97430-2.jpg
Krakow,Poland,0,0,0,1,0,1,0,1,0,0,"Wieliczka Salt Mine,Wawel Cathedral,Rynek Główny,Wawel Royal Castle,St. Mary's Basilica,The Cloth Hall,Oskar Schindler's Enamel Factory,National Museum in Krakow,Rynek Underground Museum,Kazimierz nightlife","Rain, snow or shine this city is a pleasure to discover.The Wawel Castle, Main Square, St. Mary's Church and Kazimierz District...Krakow, the city entered into the first list of the UNESCO World Heritage Sites, offers a wealth of history and architecture. A city for centuries appreciated for its cultural heritage has also become a European center of gastronomic heritage. In 2019, the city of Kraków was granted the title of European Capital of Gastronomic Culture by the European Academy of Gastronomy. Krakow is the city living a full cultural life. Each year, the capital of Lesser Poland hosts nearly 100 festivals and other international-scale events.","Locals say that May and June are the best times to visit Krakow, when temperatures range between highs of 20-24° C (69-75° F) and lows of 9-13° C (49-55° F). Early October is another good option because between mid-October to March, “air pollution is a serious problem in addition to cold and often dreadful weather,”",https://img.delicious.com.au/w0ZIWSz6/del/2018/12/bruges-belgium-97430-2.jpg
Amsterdam,Holland,0,0,0,1,1,1,1,1,1,0,"Rijksmuseum,Van Gogh Museum,Anne Frank House,ARTIS,Rembrandt House Museum,Royal Palace Amsterdam,Streets shopping","Netherlands capital, with canals, cycle paths & museums with works by Van Gogh, Rembrandt & Vermeer. Overloaded with adorable canals and bridges, Amsterdam brings the charm in europe.From its picturesque canals and bridges to its historic homes, Amsterdam is a full-blown fairytale. The brightly-colored bicycles and tulip stands around town don’t hurt either. Must-see sights include the Anne Frank House, the Van Gogh Museum, and the world's only floating flower market. Rent a bike and join thousands of locals peddling around. Other visitors might want to linger in the local coffee shops, which is just a normal part of the city's landscape. enjoy after noon at riverside with some stuff with golden sun and chill wind.",Spring (March to May) and Summer (June to August): The spring tulip season — when Keukenhof Gardens opens up and the city is taken over by colorful blooms for the Tulip Festival — is one of the most popular times to visit Amsterdam. Average daytime temperatures in spring reach 55 Fahrenheit (13 Celsius) and lows of 41 Fahrenheit (5 Celsius).,https://img.delicious.com.au/qNXdJPqd/del/2018/12/amsterdam-holland-97432-2.jpg
Stockholm,Sweden,1,0,0,1,1,1,0,1,0,0,"Vasa Museum,Skansen,Fotografiska,Drottningholm Palace,Gröna Lund,ABBA The Museum,Stockholm City Hall,Medieval city center","Embrace hygge with a side of fikka in this handsome city.Sweden's capital, comprising 14 islands whose sites include an old town, palaces, museums & shops.Sweden's dynamic capital combines contemporary attractions—avant-garde art, chic shopping, innovative dining—with regal palaces and gabled buildings that look lifted out of a storybook. Stroll through fantastic parks and gardens (the 19th-century Skansen was the world’s first open-air museum), over picturesque bridges connecting the city's islands, and down narrow cobblestone streets of Old Town—possibly the most impeccably preserved historic center in Europe. Dedicate a day or two for exploring Stockholm’s UNESCO World Heritage Sites: Drottningholm Palace (the residence of the royal family) and the magical Skogskyrkogården (aka Woodland Cemetery).",All year.,https://img.delicious.com.au/z6Nwu6s8/del/2018/12/stockholm-sweden-97433-2.jpg
Ljubljana,Slovenia,0,0,1,0,0,1,0,1,0,0,"Ljubljana Castle,Tivoli Park,Dragon Bridge,Tromostovje,Prešeren Square,Metelkova Art Center,Ljubljana Cathedral,Narodni muzej Slovenije,River boat trip,Slovenian puppets","An emerging craft beer and casual dining scene makes this a foodie hub.Slovenian capital known for Jože Plečnik's modern architecture, museums & outdoor riverside cafes.Slovenia, wedged between Austria and Italy, has always been proud of its unique heritage. The capital, Ljubljana, is a perfect example of this blend of German, Mediterranean, and Slovenian culture. The old town is a blend of Baroque, Renaissance, and Art Nouveau buildings, watched over by a medieval castle. Cut through the gardens of Tivoli Park to the National Museum of Contemporary History for a history of modern Slovenia, featuring crumbled statues of Stalin and a recreation of a WWI trench.",All year.,https://img.delicious.com.au/m-MMHY82/del/2018/12/ljubljana-slovenia-97434-2.jpg
Hanoi,Vietnam,1,1,0,1,0,1,1,1,1,1,"Temple Of Literature,Hoàn Kiếm Lake,Hanoi Old Quarter,Ho Chi Minh Mausoleum,Thăng Long Imperial Citadel,Thang Long Water Puppet Theatre,Rickshaw ride","There’s no questioning why this Vietnamese city is beloved by travellers.Vietnam’s capital, home to Bach Ma Temple, Đồng Xuân Market & neoclassical Hanoi Opera House.Layered with French and Chinese influence, Hanoi has emerged as a cultural capital that's 100 percent Vietnamese.Hanoi, the country's charming capital has aged well, preserving the Old Quarter, monuments and colonial architecture, while making room for modern developments alongside. The city may have shrugged off several former names, including Thang Long, or ""ascending dragon,"" but it hasn't forgotten its past, as sites such as Ho Chi Minh's Mausoleum and Hoa Lo Prison attest. Lakes, parks, shady boulevards, and more than 600 temples and pagodas add to the appeal of this city, which is easily explored by taxi.","Autumn and Spring: In autumn (around September to November) and Spring (in March and April), Hanoi’s weather is at its best. In winter, Hanoi is quite cold with temperatures falling below 10ºC (50ºF). In summer, things get hotter, with temperatures averaging around 28-35ºC (82º-95ºF). Hanoi has high humidity year-round.",https://img.delicious.com.au/DTPuY7Rs/del/2018/12/hanoi-vietnam-97435-2.jpg
Wellington,New Zealand,1,1,0,1,1,1,0,1,1,0,"Museum of New Zealand Te Papa,Wellington Cable Car,Wellington Zoo,Weta Cave,Wellington Botanic Garden,Cuba Street,City Gallery Wellington,Mountain biking","From sandy beaches to hillside cable cars, this city has something for everyone.New Zealand’s capital, known for the Te Papa Museum, an iconic red cable car & windy weather.Wellington boasts a compact downtown area that’s easy to explore on foot and a wealth of architectural styles, from 19th-century wooden cottages to Art Deco masterpieces. Discover the city’s Maori roots at the Museum of Wellington City & Sea and the Museum of New Zealand. Sip coffee and people-watch in lively Courtney Place, or survey the city from scenic Mount Victoria. When the sun goes down on Windy Wellington, take a nocturnal tour of Karori Wildlife Sanctuary to meet some colorful inhabitants.",All year.,https://img.delicious.com.au/GK2D3BLF/del/2018/12/wellington-new-zealand-97436-2.jpg
Nice,France,1,1,0,0,0,1,1,1,1,0,"Promenade des Anglais,Musée Matisse,Marc Chagall National Museum,Castle of Nice,Cours Saleya,Parc Phœnix,Mediterranean diving,Medieval village","You’re not in Paris anymore, Toto. It’s all about the palm trees and blue here.French Riviera town known for its Matisse & other art museums, pebbly beaches & medieval old town.The deep blue waters of the Cote d’Azur are the dramatic backdrop for elegant Nice. Breathe in the fresh Mediterranean air as you stroll the famous Promenade des Anglais, be charmed by the quaint streets of Old Town, or get a panoramic view of the whole city from atop Castle Hill. Indulge in classic Provençal dishes and wines in one of the city’s intimate cafes or bustling brasseries. And don’t pass up the chance to experience the French Riviera’s glitz and glamor by taking day trips to Saint Tropez and Monaco or by joining a group to go clubbing til dawn. And don't forget to scuba dive.",Summer is the best time to travel the blue land and pebbles.,https://img.delicious.com.au/uAvgs844/del/2018/12/nice-france-97437-1.jpg
Vancouver,Canada,1,1,0,0,1,1,1,1,0,0,"Stanley Park,Capilano Suspension Bridge Park,Granville Island,Vancouver Aquarium,Grouse Mountain,Museum of Anthropology,Island trip,Whale watching,Sea-to-Sky drive","A seaport city in British Columbia, Vancouver is filled with cultural entertainment.Hip coastal city with historic Granville Island, beaches, Capilano Suspension Bridge & Stanley Park.Vancouver was founded as “Gastown” by an Englishman with a penchant for beer and storytelling. Today Gastown is a historic section of the Canadian metropolis, and the lively pubs still reflect the area’s former status as a sort of community drinking center. The city’s forests, grand parks, and impressive suspension bridge beckon travelers to explore them, as do the city’s shops and museums. Relive the glory of the 2010 Winter Games with visits to Olympic venues and the marvelous Olympic Cauldron. Also famous for whale watching and sea to sky drive with beautiful view.",All year.,https://img.delicious.com.au/daj4fCrs/del/2018/12/vancouver-canada-97438-2.jpg
Kiev,Ukraine,0,0,1,0,0,1,0,1,0,0,"Maiden Nezalezhnosti, st sophia cathedral, Golden gate","Gold-swathed buildings and an interesting history makes this a city worth visiting.Kiev, the capital of Ukraine, is one of Eastern Europe's oldest cities and had an earlier golden age as the capital of the Kievan Rus, the first Ukrainian state. Following years under Soviet rule, today it is Ukraine's most cosmopolitan city, offering multi-ethnic restaurants not found in the rest of the country and was a center of the Orange Revolution of 2004. ",All year.,https://img.delicious.com.au/MYq3YK9U/del/2018/12/kiev-ukraine-97439-2.jpg
Hallstatt,Austria,0,1,0,1,0,0,0,1,1,0,"Hallstätter See,Hoher Dachstein,Treppe ins Nichts,Salzwelten Hallstatt,Alpine Club Austria - Simonyhütte,Grosser Donnerkogel","Technically more town than city, no bucket list could be complete without Hallstatt.Lakeside frozen with snow alpine village known for 16th-century houses, Salzwelten salt mine & Echern Valley trails.Hallstatt is a village on Lake Hallstatt's western shore in Austria's mountainous Salzkammergut region. Its 16th-century Alpine houses and alleyways are home to cafes and shops. A funicular railway connects to Salzwelten, an ancient salt mine with a subterranean salt lake, and to Skywalk Hallstatt viewing platform. A trail leads to the Echern Valley glacier garden with glacial potholes and Waldbachstrub Waterfall.Full of Alps and great to trek or outdoor travel.",Winter is the great time to visit.,https://img.delicious.com.au/Yj7W5YCj/del/2018/12/hallstatt-austria-97440-2.jpg
